Year	State	TotalPopulation	TotalCitizen	TotalRegistered	TotalVoted	HispanicPopulation	HispanicCitizen	HispanicRegistered	HispanicVoted	PercentHispanicPopulation	PercentHispanicRegistered	PercentHispanicVoted
2012	ALABAMA	3594.0	3479.0	2556.0	2154.0	107.0	35.0	12.0	0.0	0.029771841958820256	0.004694835680751174	0.0
2012	ALASKA	516.0	495.0	361.0	289.0	23.0	18.0	10.0	7.0	0.044573643410852716	0.027700831024930747	0.02422145328719723
2012	ARIZONA	4863.0	4314.0	2812.0	2412.0	1396.0	989.0	516.0	400.0	0.2870655973678799	0.18349928876244664	0.16583747927031509
2012	ARKANSAS	2198.0	2109.0	1376.0	1124.0	143.0	73.0	16.0	14.0	0.06505914467697907	0.011627906976744186	0.012455516014234875
2012	CALIFORNIA	28357.0	23419.0	15356.0	13462.0	9935.0	6510.0	3684.0	3157.0	0.35035440984589344	0.23990622557957803	0.2345119595899569
2012	COLORADO	3817.0	3544.0	2635.0	2495.0	681.0	497.0	284.0	259.0	0.17841236573225047	0.10777988614800758	0.10380761523046092
2012	CONNECTICUT	2726.0	2499.0	1760.0	1568.0	292.0	220.0	127.0	103.0	0.10711665443873808	0.07215909090909091	0.06568877551020408
2012	DELAWARE	693.0	641.0	470.0	431.0	56.0	24.0	11.0	10.0	0.08080808080808081	0.023404255319148935	0.02320185614849188
2012	DISTRICT OF COLUMBIA	517.0	461.0	385.0	350.0	48.0	19.0	14.0	13.0	0.09284332688588008	0.03636363636363636	0.037142857142857144
2012	FLORIDA	15034.0	13326.0	9102.0	8107.0	3349.0	2250.0	1622.0	1399.0	0.22276174005587335	0.17820259283673917	0.1725669174787221
2012	GEORGIA	7179.0	6738.0	4767.0	4168.0	489.0	238.0	140.0	114.0	0.06811533639782699	0.02936857562408223	0.027351247600767754
2012	HAWAII	1013.0	930.0	547.0	480.0	81.0	73.0	33.0	25.0	0.07996051332675222	0.0603290676416819	0.052083333333333336
2012	IDAHO	1129.0	1064.0	745.0	679.0	119.0	68.0	35.0	27.0	0.1054030115146147	0.04697986577181208	0.039764359351988215
2012	ILLINOIS	9651.0	8831.0	6425.0	5428.0	1200.0	770.0	415.0	295.0	0.12433944668946223	0.06459143968871596	0.05434782608695652
2012	INDIANA	4852.0	4724.0	3270.0	2801.0	184.0	118.0	71.0	49.0	0.03792250618301731	0.021712538226299694	0.017493752231345947
2012	IOWA	2320.0	2232.0	1745.0	1548.0	120.0	71.0	32.0	30.0	0.05172413793103448	0.01833810888252149	0.01937984496124031
2012	KANSAS	2120.0	1973.0	1467.0	1249.0	197.0	108.0	54.0	33.0	0.09292452830188679	0.03680981595092025	0.02642113690952762
2012	KENTUCKY	3291.0	3194.0	2303.0	1895.0	82.0	34.0	20.0	13.0	0.0249164387724096	0.008684324793747287	0.006860158311345646
2012	LOUISIANA	3321.0	3239.0	2498.0	2148.0	125.0	70.0	57.0	48.0	0.037639265281541705	0.022818254603682947	0.0223463687150838
2012	MAINE	1042.0	1020.0	787.0	700.0	10.0	7.0	4.0	4.0	0.009596928982725527	0.005082592121982211	0.005714285714285714
2012	MARYLAND	4449.0	4007.0	2888.0	2609.0	342.0	176.0	115.0	103.0	0.07687120701281187	0.03981994459833795	0.03947872748179379
2012	MASSACHUSETTS	5170.0	4774.0	3759.0	3382.0	453.0	322.0	216.0	202.0	0.08762088974854933	0.05746209098164405	0.05972797161442933
2012	MICHIGAN	7496.0	7228.0	5620.0	4832.0	285.0	225.0	193.0	158.0	0.038020277481323375	0.034341637010676156	0.03269867549668874
2012	MINNESOTA	4055.0	3903.0	3085.0	2859.0	136.0	96.0	54.0	44.0	0.03353884093711467	0.017504051863857374	0.015389996502273523
2012	MISSISSIPPI	2166.0	2130.0	1794.0	1588.0	35.0	17.0	5.0	2.0	0.016158818097876268	0.002787068004459309	0.0012594458438287153
